Index,smiles,logt,Unnamed: 3
TR257,CC1=CN([C@@H]2O[C@H](COC(=O)CNNC(=O)c3ccncc3)C=C2)C(=O)NC1=O,0.5815799111932594,
TR212,Cc1ncc([N+](=O)[O-])n1CCOC(=O)CCCCCCCCC(=O)OCCn2c(C)ncc2[N+](=O)[O-],0.4323947619926203,
TR328,COC(=O)C1=CC(NC(=O)C2=CC=CC(=C2)C2=C(CN)C=CC(=C2)C(=O)NC2=C(F)C=NC=C2)=C(F)C=C1,0.480214653165945,
TR306,CCCC(CCC)C(=O)OCN(CC(=O)OCC)C(=O)c1ccccc1,0.8418219323931917,
TR433,[H]C1(CN2CC[C@]34C5=C6O[C@@]3([H])[C@]3(CC[C@@]4(C[C@]3([H])[C@](C)(O)C(C)(C)C)[C@@]2([H])CC5=CC=C6OC(=O)CCC)OC)CC1,0.6310670314559196,
TR502,CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)C(Cl)(Cl)[C@@H]1O)Oc1cccc(C2CCC2)c1,0.4119405606518588,
TR111,CC[C@H](N1C=CC=C(NC(=O)c2cc(C)on2)C1=O)C(=O)N[C@@H](C[C@@H]1CCNC1=O)\C=C\C(=O)OC1CCC1,0.7684197909990541,
TR83,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1cnoc1C,0.0,
TR166,CNCc1cccc(c1)C(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,0.5078721712681064,
TR78,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1ccccc1,0.1992936180026799,
TE23,CCOC(=O)C(NC(=O)C1CCn2c1ccc2C(=O)c1ccccc1)C(C)CC,0.5453113001194643,
TR71,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1cccc(C)c1,0.2536092767867466,
EX25,COc1ccc(-c2ccc3c(c2)COC3=O)n2nc(C3(C(=O)OC4CCCCC4)CC3)nc12,0.5008520804856985,23.0
TR484,CCCCCOC(=O)C[C@H](NP(=O)(CO[C@@H](CF)Cn1cnc2c(=O)[nH]c(N)nc21)Oc1ccccc1)C(=O)OCCCCC,0.5980912769865883,
TR249,CN1CCN(CC1)CC(OCCn2c([N+]([O-])=O)cnc2C)=O,0.5601561465448093,
TE44,CCN(CC)Cc1cccc(c1)C(=O)OCN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,0.4890851990166804,
TR61,CCOC(=O)c1ccc(cc1)N=NN(C)C(=O)NCCc1ccc(O)cc1,0.941055625603754,
TE55,NC1=Cc2n(COCCOC(c3cc(CN4CCCCC4)ccc3)=O)cnc2C(N1)=O,0.4119405606518588,
TR291,CCOC(=O)[C@H]1O[C@@H](Oc2cc3OC(=CC(=O)c3c(O)c2O)c4ccc(O)cc4)[C@H](O)[C@@H](O)[C@@H]1O,0.7091419811370635,
TE65,Cc1ncc(n1CCOC(=O)CN1CCCCC1)[N+]([O-])=O,0.5654006829731733,
TR19,NCc1ccc(cc1-c1cccc(c1)C(=O)OCc1ccccc1)C(=O)Nc1ccncc1,0.5870135587981861,
TR474,CC(C(=O)OCCC(=O)NCc1ccccc1)c1ccc(-c2ccccc2)c(F)c1,0.6326118879898214,
TR409,CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OCCC(C)C)CC2)C(=O)OC,0.5111742538624212,
